company_id,type,rule_id,text,confidence_pct
ABB,con,CON_02,Free cash flow has remained negative for three consecutive years.,90
ABB,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ABB,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
ABB,pro,PRO_06,Net profit compounding above 20% over five years creates significant shareholder value.,93
ABB,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
ABB,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91
ABB,pro,PRO_10,Return on equity improving for three consecutive years shows strengthening business quality.,85
ADANIENSOL,con,CON_01,Debt-to-equity ratio of 2.93 is elevated and warrants monitoring.,92
ADANIENSOL,con,CON_03,Operating margins have declined for three consecutive years.,85
ADANIENSOL,con,CON_10,Return on equity below 10% suggests weak capital efficiency.,82
ADANIENSOL,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
ADANIENSOL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
ADANIENSOL,pro,PRO_12,Improving asset efficiency indicates better capital allocation and operational performance.,82
ADANIENT,con,CON_10,Return on equity below 10% suggests weak capital efficiency.,82
ADANIENT,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
ADANIENT,pro,PRO_10,Return on equity improving for three consecutive years shows strengthening business quality.,85
ADANIGREEN,con,CON_01,Debt-to-equity ratio of 6.60 is elevated and warrants monitoring.,92
ADANIGREEN,con,CON_11,High financial leverage may reduce future financial flexibility.,90
ADANIGREEN,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
ADANIGREEN,pro,PRO_04,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,90
ADANIGREEN,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
ADANIPORTS,con,CON_FALLBACK,No specific negative rule fired; routine monitoring of the latest financial metrics is recommended.,70
ADANIPORTS,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
ADANIPORTS,pro,PRO_04,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,90
ADANIPORTS,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
ADANIPORTS,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91
ADANIPORTS,pro,PRO_10,Return on equity improving for three consecutive years shows strengthening business quality.,85
ADANIPORTS,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84
ADANIPORTS,pro,PRO_12,Improving asset efficiency indicates better capital allocation and operational performance.,82
ADANIPOWER,con,CON_02,Free cash flow has remained negative for three consecutive years.,90
ADANIPOWER,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ADANIPOWER,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
ADANIPOWER,pro,PRO_04,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,90
ADANIPOWER,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
ADANIPOWER,pro,PRO_10,Return on equity improving for three consecutive years shows strengthening business quality.,85
ADANIPOWER,pro,PRO_12,Improving asset efficiency indicates better capital allocation and operational performance.,82
AMBUJACEM,con,CON_FALLBACK,Latest-year free cash flow is negative and should be monitored for cash-generation risk.,70
AMBUJACEM,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
